Week, Chapter, Url
1, Course Overview and Introduction to NLP, https://linktoIntroNLP.com
3, Corpus Linguistics and N-gram Models, https://linktoCorpLinguistics.com
4, Regular Expressions Morphology, https://linktoRegExMorphology.com
5, Part-of-speech Tagging and parsing, https://linktoPOSandParsing.com
6, Lexical Semantics WordNet WSD, https://linktoWordNet.com
7, Semantic Representations Semantic Role Labeling, https://linktoSemanticRepresentations.com
8, Sentiment Analysis, https://linktoSentimentAnalysis.com
9, Discourse Linguistics Pragmatics and Dialogue Theory, https://linktoDiscourseLinguistics.com
10, Deep NLP, https://linktoDeepNLP.com
11, Deep NLP (2), https://linktoDeepNLP2.com
12, NLP Applications (1), https://linktoNLP1.com
14, NLP Applications (2), https://linktoNLP2.com
